QUERY_ID,QUERY_TEXT,QUERY_TIME_SECONDS
0,$[4000].routes[*].bounds,0.01549
1,$[*].routes[*].legs[*].steps[*].html_instructions,0.43240
2,$[*].routes[*].legs[*].steps[*].distance.text,0.57512
3,$[*].routes[*].legs[*].steps[*].distance,0.50642
4,$[*].routes[*].legs[*].steps[*].maneuver,0.73895
5,$[*].routes[*].legs[*].steps[*].start_location,0.70835
6,$[*].routes[*].legs[*].steps[*].start_location.lat,0.70582
7,$[1:2000].routes[*].legs[*].steps[*].polyline.points,0.31900
8,$[*].routes[*].legs[*].steps[*].duration,1.00627
9,$[*].routes[*].legs[*].steps[*].end_location,1.13743
10,$[1:3000].routes[*].legs[*].steps[*].polyline.points,0.48030
11,$[*].routes[*].legs[*].steps[*],0.87064
12,$[1:4000].routes[*].legs[*].steps[*].polyline.points,0.64624
13,$[*].routes[*].legs[*].steps[*].polyline,0.82252
14,$[*].routes[*].legs[*].steps[*].polyline.points,0.72807
15,$[*].routes[*].legs[*]..lat,0.96499
16,$[*]..bounds,0.96938
